City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,saipan,15.1355,145.701,86.0,70,40,8.23,MP,2024-06-07
79,longyearbyen,78.2186,15.6401,39.2,65,0,2.06,SJ,2024-06-07
80,hermanus,-34.4187,19.2345,53.6,78,100,3.71,ZA,2024-06-07
81,novo selo,41.4139,22.8811,64.4,70,4,1.63,MK,2024-06-07
82,eyl,7.9803,49.8164,82.4,68,4,7.98,SO,2024-06-07
83,labytnangi,66.6572,66.4183,41.0,76,78,4.87,RU,2024-06-07
84,thompson,55.7435,-97.8558,41.0,100,75,3.09,CA,2024-06-07
85,vanimo,-2.6741,141.3028,86.0,70,67,2.13,PG,2024-06-07
86,ribeira grande,38.5167,-28.7,64.4,81,100,4.02,PT,2024-06-07
87,klyuchi,52.2667,79.1667,69.8,70,100,5.82,RU,2024-06-07
88,prince rupert,54.3161,-130.3201,51.8,81,0,5.66,CA,2024-06-07
89,jwaneng,-24.6004,24.7303,39.2,80,0,4.65,BW,2024-06-07
90,bodo,67.28,14.405,48.2,97,75,3.09,NO,2024-06-07
91,happy valley-goose bay,53.3168,-60.3315,60.8,77,20,2.06,CA,2024-06-07
92,san juan de miraflores,-12.1629,-76.9635,62.6,88,71,3.54,PE,2024-06-07
93,college,64.8569,-147.8028,64.4,47,75,2.06,US,2024-06-07
94,aioun,16.6614,-9.6149,96.8,18,66,5.56,MR,2024-06-07
95,chaykovskiy,56.7686,54.1148,64.4,89,8,1.71,RU,2024-06-07
96,castillos,-34.1667,-53.8333,57.2,97,100,0.62,UY,2024-06-07
97,diyarbakir,37.9158,40.2189,69.8,46,0,1.03,TR,2024-06-07
98,bethel,41.3712,-73.414,69.8,85,2,2.14,US,2024-06-07
99,akobo,7.4344,3.9497,73.4,99,100,1.69,NG,2024-06-07
100,udachny,66.4167,112.4,51.8,47,100,3.46,RU,2024-06-07
101,ancud,-41.8697,-73.8203,51.8,92,78,4.31,CL,2024-06-07
102,argo,37.6333,22.7333,71.6,67,0,2.52,GR,2024-06-07
103,lautoka,-17.6167,177.4667,82.4,51,40,5.66,FJ,2024-06-07
104,badger,64.8,-147.5333,66.2,46,75,2.06,US,2024-06-07
105,parry sound,45.3501,-80.033,64.4,68,94,2.38,CA,2024-06-07
106,sitka,57.0531,-135.33,51.8,76,75,3.09,US,2024-06-07
